UniqueID,Variety,Cropping.System,crop,subplot,Range,Row,Rep,Planting.Date,Planting.Order,tared_biomass_wgt_g,tared_seed_yield_g,broken_seed_%
22NYWPPD-3-7,Windham,Monoculture,peas,A,3,7,1,3,27,66.86,449.6,<1
22NYWPPD-2-7,Blaze,Monoculture,peas,A,2,7,1,3,26,124.56,452.7,5
22NYWPPD-1-4,WyoWinter,Monoculture,peas,A,1,4,1,2,16,108.06,,
22NYWPPD-1-8,Icicle,Monoculture,peas,A,1,8,1,3,32,43.36,,
22NYWPPD-1-9,WyoWinter,Monoculture,peas,A,1,9,2,2,33,159.96,,
22NYWPPD-1-11,WyoWinter,Monoculture,peas,A,1,11,2,3,41,107.26,,
22NYWPPD-1-24,WyoWinter,Mixture,peas,A,1,24,3,2,96,85.46,,
22NYWPPD-1-26,WyoWinter,Mixture,peas,A,1,26,4,3,104,73.96,,
22NYWPPD-1-27,Blaze,Monoculture,peas,A,1,27,4,1,105,30.56,,
22NYWPPD-1-28,Windham,Monoculture,peas,A,1,28,4,1,112,74.06,,
22NYWPPD-1-30,WyoWinter,Monoculture,peas,A,1,30,4,4,120,75.26,,
22NYWPPD-1-31,Blaze,Monoculture,peas,A,1,31,4,2,121,135.66,,
22NYWPPD-1-32,Icicle,Monoculture,peas,A,1,32,4,2,128,93.86,,
22NYWPPD-2-3,Blaze,Monoculture,peas,A,2,3,1,2,10,96.56,,
22NYWPPD-2-4,Icicle,Monoculture,peas,A,2,4,1,2,15,23.36,,
22NYWPPD-2-9,Icicle,Monoculture,peas,A,2,9,2,2,34,43.26,,
22NYWPPD-2-10,WyoWinter,Mixture,peas,A,2,10,2,2,39,91.66,,
22NYWPPD-2-22,Windham,Monoculture,peas,A,2,22,3,3,87,80.06,,
22NYWPPD-2-23,Icicle,Monoculture,peas,A,2,23,3,2,90,43.96,,
22NYWPPD-2-24,Windham,Mixture,peas,A,2,24,3,2,95,24.86,,
22NYWPPD-2-25,Windham,Monoculture,peas,A,2,25,4,3,98,127.86,,
22NYWPPD-2-29,Icicle,Monoculture,peas,A,2,29,4,4,114,0.36,,
22NYWPPD-2-31,WyoWinter,Mixture,peas,A,2,31,4,2,122,45.86,,
22NYWPPD-3-6,WyoWinter,Monoculture,peas,A,3,6,1,4,22,33.16,,
22NYWPPD-3-8,WyoWinter,Monoculture,peas,A,3,8,1,3,30,147.66,,
22NYWPPD-3-10,Blaze,Monoculture,peas,A,3,10,2,2,38,91.06,,
22NYWPPD-3-12,WyoWinter,Mixture,peas,A,3,12,2,3,46,116.36,,
22NYWPPD-3-16,Windham,Monoculture,peas,A,3,16,2,1,62,35.16,,
22NYWPPD-3-21,WyoWinter,Mixture,peas,A,3,21,3,3,83,77.16,,
22NYWPPD-3-22,Icicle,Monoculture,peas,A,3,22,3,3,86,41.96,,
22NYWPPD-3-24,WyoWinter,Monoculture,peas,A,3,24,3,2,94,138.66,,
22NYWPPD-3-26,WyoWinter,Monoculture,peas,A,3,26,4,3,102,209.36,,
22NYWPPD-3-30,Icicle,Mixture,peas,A,3,30,4,4,118,-1.54,,
22NYWPPD-3-31,WyoWinter,Monoculture,peas,A,3,31,4,2,123,120.36,,
22NYWPPD-4-1,Icicle,Mixture,peas,A,4,1,1,1,4,9.26,,
22NYWPPD-4-3,WyoWinter,Mixture,peas,A,4,3,1,2,12,110.46,,
22NYWPPD-4-7,WyoWinter,Mixture,peas,A,4,7,1,3,28,62.96,,
22NYWPPD-4-12,Blaze,Monoculture,peas,A,4,12,2,3,45,121.46,,
22NYWPPD-4-13,WyoWinter,Monoculture,peas,A,4,13,2,4,52,97.36,,
22NYWPPD-4-14,WyoWinter,Mixture,peas,A,4,14,2,4,53,39.96,,
22NYWPPD-4-16,Blaze,Monoculture,peas,A,4,16,2,1,61,3.76,,
22NYWPPD-4-19,Icicle,Monoculture,peas,A,4,19,3,1,76,34.36,,
22NYWPPD-4-20,Windham,Monoculture,peas,A,4,20,3,1,77,55.46,,
22NYWPPD-4-22,WyoWinter,Monoculture,peas,A,4,22,3,3,85,155.96,,
22NYWPPD-4-23,Blaze,Monoculture,peas,A,4,23,3,2,92,108.26,,
22NYWPPD-4-28,Icicle,Monoculture,peas,A,4,28,4,1,109,45.66,,
22NYWPPD-4-30,Windham,Monoculture,peas,A,4,30,4,4,117,5.66,,
22NYWPPD-4-32,Windham,Monoculture,peas,A,4,32,4,2,125,113.36,,
